Tratamento,Tempo_dias,Imagem,n_fraturas,densidade_fraturas_mm2,severidade_percent,porosidade_percent,n_poros,rugosidade_um
DC,120,120d_5.png,169,174.46,13.33,50.75,107,61.42
DC,120,120d_6.png,149,153.81,14.66,47.34,106,56.32
DC,120,120d_7.png,110,113.55,10.8,89.71,16,66.55
DC,120,120d_8.png,115,118.72,14.58,43.21,184,64.82
DC,120,120d_9.png,74,76.39,17.66,41.41,159,68.3
DC,150,150d_1.png,141,145.56,16.79,35.3,318,111.18
DC,150,150d_2.png,179,184.78,14.44,24.02,307,102.35
DC,150,150d_3.png,177,182.72,15.29,38.17,345,74.56
DC,150,150d_4.png,188,194.07,17.22,29.31,353,103.4
DC,150,150d_5.png,145,149.68,18.84,44.12,206,104.32
DC,150,150d_6.png,102,105.3,18.82,51.02,135,85.46
DC,150,150d_7.png,198,204.4,14.42,21.96,391,87.71
DC,150,150d_8.png,172,177.56,18.54,31.8,256,88.43
DC,150,150d_9.png,131,135.23,19.58,49.15,124,74.16
DC,180,180d_1.png,121,124.91,12.12,22.78,294,85.59
DC,180,180d_2.png,150,154.85,7.91,27.5,365,68.12
DC,180,180d_3.png,201,207.49,10.46,43.9,340,65.51
DC,180,180d_4.png,104,107.36,9.17,25.95,190,87.0
DC,180,180d_5.png,79,81.55,19.42,19.67,127,75.01
DC,180,180d_6.png,64,66.07,18.09,16.08,90,77.83
DC,180,180d_7.png,55,56.78,9.39,26.38,143,76.24
DC,180,180d_8.png,145,149.68,14.12,28.54,272,86.97
DC,180,180d_9.png,143,147.62,10.1,43.08,201,83.2
