Grupo,n,W,p-valor,Normal (α=0.05)
T0,18,0.9344099204672979,0.23198833375634703,Sim
T1,18,0.9255781133012085,0.16227067513675308,Sim
T2,18,0.9268618120469201,0.17096934883360737,Sim
T3,18,0.9534299120588449,0.48132325283304617,Sim
